model,params,auc,rule,selected_races,selected_rate,avg_score,avg_payout,median_payout,max_payout,over_30_rate,over_50_rate,over_100_rate,target_hit_rate
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,top_10pct,1332,0.1,0.5440913296830748,25384.737237237237,8055.0,1240140,0.19519519519519518,0.12312312312312312,0.0472972972972973,0.12312312312312312
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,score>=0.35,2742,0.20585585585585586,0.4566684710139176,20186.808898614152,6385.0,1240140,0.15317286652078774,0.09518599562363239,0.0350109409190372,0.09518599562363239
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,score>=0.40,1454,0.10915915915915916,0.5324379993665538,24527.207702888583,7930.0,1240140,0.18982118294360384,0.11760660247592847,0.0453920220082531,0.11760660247592847
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,score>=0.45,1060,0.07957957957957958,0.5741516285772535,27775.877358490565,8815.0,1240140,0.21320754716981133,0.1349056603773585,0.05,0.1349056603773585
rf_5,"{'n_estimators': 300, 'min_samples_leaf': 40, 'max_features': 0.5, 'max_depth': None}",0.6208840600572586,score>=0.50,803,0.06028528528528528,0.6065094966947893,26167.833125778332,9360.0,464820,0.22914072229140722,0.1444582814445828,0.048567870485678705,0.1444582814445828
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,ALL,13320,1.0,0.2727463945168703,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,top_1pct,133,0.009984984984984985,0.6241627940075981,25096.39097744361,11370.0,276510,0.2631578947368421,0.12030075187969924,0.05263157894736842,0.12030075187969924
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,top_3pct,399,0.029954954954954954,0.5793132396197128,27440.225563909775,9650.0,778840,0.23809523809523808,0.14035087719298245,0.05012531328320802,0.14035087719298245
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,top_5pct,666,0.05,0.5483839271052009,28324.804804804804,9940.0,778840,0.23873873873873874,0.15015015015015015,0.04954954954954955,0.15015015015015015
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,top_10pct,1332,0.1,0.48612649760039756,25658.1006006006,7930.0,778840,0.19894894894894896,0.12837837837837837,0.0518018018018018,0.12837837837837837
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,score>=0.35,1661,0.1246996996996997,0.4612736073588992,23812.558699578567,7470.0,1240140,0.18001204093919326,0.11137868753762793,0.04515352197471403,0.11137868753762793
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,score>=0.40,1134,0.08513513513513514,0.5035788969408213,26536.252204585537,8730.0,778840,0.21252204585537918,0.13580246913580246,0.05202821869488536,0.13580246913580246
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,score>=0.45,832,0.06246246246246246,0.5317189367005437,27562.896634615383,9335.0,778840,0.22716346153846154,0.14182692307692307,0.051682692307692304,0.14182692307692307
rf_6,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'log2', 'max_depth': None}",0.6261136080232248,score>=0.50,541,0.040615615615615615,0.5623185034226539,27082.71719038817,10010.0,778840,0.2365988909426987,0.14417744916820702,0.04621072088724584,0.14417744916820702
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,ALL,13320,1.0,0.39740949542437015,13415.762012012012,3860.0,1240140,0.09722222222222222,0.05683183183183183,0.021021021021021023,0.05683183183183183
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,top_1pct,133,0.009984984984984985,0.6838539090956625,25809.17293233083,9400.0,286320,0.2706766917293233,0.13533834586466165,0.06015037593984962,0.13533834586466165
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,top_3pct,399,0.029954954954954954,0.6486443396093063,26278.671679197996,10000.0,464820,0.23809523809523808,0.13032581453634084,0.047619047619047616,0.13032581453634084
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,top_5pct,666,0.05,0.6222760678975086,27816.366366366365,9530.0,778840,0.23273273273273273,0.14264264264264265,0.05105105105105105,0.14264264264264265
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,top_10pct,1332,0.1,0.5707453685853066,24291.87687687688,7710.0,778840,0.19519519519519518,0.12762762762762764,0.0472972972972973,0.12762762762762764
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,score>=0.35,9920,0.7447447447447447,0.4454466037917264,14821.261088709678,4675.0,1240140,0.10947580645161291,0.06471774193548387,0.023185483870967742,0.06471774193548387
rf_7,"{'n_estimators': 300, 'min_samples_leaf': 20, 'max_features': 'sqrt', 'max_depth': 12}",0.6149329703262532,score>=0.40,7523,0.5647897897897898,0.46702060635873577,15541.451548584342,4980.0,1240140,0.11830386813771102,0.06952013824272232,0.024059550711152466,0.06952013824272232
