rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_race_score,min_race_score,avg_ticket_score,min_ticket_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month_min_roi,month_mean_roi,month_count,plus_months,enough_hits
odds_100_1000_race>=0.5_score>=0.4_expected>=5000_top5_by_ticket_score,773,3696,4.78137128072445,369600,378310,8710,1.0235660173160173,0.9758658008658009,31,0.008387445887445888,0.040103492884864166,0.6062052036409701,0.5001748065414573,0.5085877247011568,0.4000112752891799,124.36585497835496,117.5,6273.984331569407,17630,0.04660199307446274,0.22673076923076924,0.9567128244280418,6,3,True
odds_100_500_race>=0.5_score>=0.4_expected>=5000_top5_by_expected_return,773,3696,4.78137128072445,369600,380880,11280,1.0305194805194806,0.9739989177489178,23,0.006222943722943723,0.029754204398447608,0.6062052036409701,0.5001748065414573,0.4533550765896729,0.4000112752891799,168.41323051948052,166.9,7567.857259302406,20890,0.054846670867464815,0.3082692307692308,0.9829425665918438,6,3,True
odds_100_1000_race>=0.5_score>=0.4_expected>=5000_top5_by_expected_return,773,3696,4.78137128072445,369600,380880,11280,1.0305194805194806,0.9739989177489178,23,0.006222943722943723,0.029754204398447608,0.6062052036409701,0.5001748065414573,0.4533492277957927,0.4000112752891799,168.5147727272727,166.9,7571.820600418102,20890,0.054846670867464815,0.3082692307692308,0.9829425665918438,6,3,True
odds_100_500_race>=0.45_score>=0.4_expected>=5000_top5_by_ticket_score,1016,4818,4.7421259842519685,481800,486920,5120,1.0106268161062681,0.9717725197177252,39,0.00809464508094645,0.038385826771653545,0.5752235823312565,0.4500906629413549,0.5077093828323272,0.4000112752891799,124.30456621004565,117.3,6257.370273725408,18720,0.038445740573400146,0.45586854460093895,0.9775827427391444,6,3,True
odds_100_1000_race>=0.45_score>=0.4_expected>=5000_top5_by_ticket_score,1016,4818,4.7421259842519685,481800,486920,5120,1.0106268161062681,0.9717725197177252,39,0.00809464508094645,0.038385826771653545,0.5752235823312565,0.4500906629413549,0.5077093828323272,0.4000112752891799,124.30456621004565,117.3,6257.370273725408,18720,0.038445740573400146,0.45586854460093895,0.9775827427391444,6,3,True
odds_200_1000_race>=0.35_score>=0.2_expected>=5000_top3_by_ticket_score,2725,8123,2.9809174311926605,812300,816770,4470,1.0055028930198202,0.9711067339652838,38,0.004678074602979195,0.013944954128440367,0.4560566583616664,0.3500368422753134,0.36015543007893935,0.200679925819266,233.29970454265666,218.9,8331.270728167057,27940,0.034207916549334576,0.46438876233864845,1.021640836233274,6,3,True
odds_100_500_race>=0.4_score>=0.2_expected>=5000_top2_by_ticket_score,1438,2872,1.9972183588317107,287200,305050,17850,1.0621518105849581,0.9706476323119777,25,0.008704735376044569,0.017385257301808066,0.531864350037643,0.4000830274338122,0.5246590127230553,0.2031462291488997,120.4276114206128,111.6,6229.61091807041,26280,0.08614981150631044,0.49312796208530807,1.0412357493245747,6,2,True
odds_100_1000_race>=0.4_score>=0.2_expected>=5000_top2_by_ticket_score,1438,2872,1.9972183588317107,287200,305050,17850,1.0621518105849581,0.9706476323119777,25,0.008704735376044569,0.017385257301808066,0.531864350037643,0.4000830274338122,0.5246590127230553,0.2031462291488997,120.4276114206128,111.6,6229.61091807041,26280,0.08614981150631044,0.49312796208530807,1.0412357493245747,6,2,True
odds_200_2000_race>=0.35_score>=0.2_expected>=5000_top3_by_ticket_score,2725,8130,2.98348623853211,813000,816770,3770,1.0046371463714636,0.970270602706027,38,0.004674046740467405,0.013944954128440367,0.45604641584279915,0.3500368422753134,0.3605540913985185,0.200562188058714,248.2069495694957,219.1,8858.900709135729,27940,0.034207916549334576,0.4633333333333333,1.0209459190356298,6,3,True
odds_200_2000_race>=0.35_score>=0.2_expected>=3000_top3_by_ticket_score,2730,8162,2.98974358974359,816200,816770,570,1.000698358245528,0.966466552315609,38,0.004655721636853712,0.01391941391941392,0.45598066390193326,0.3500368422753134,0.3600149957133866,0.2004859125059346,247.79332271502085,219.0,8836.771226742005,27940,0.034207916549334576,0.46228269085411944,1.0171818633131038,6,3,True
odds_100_500_race>=0.45_score>=0.4_expected>=3000_top3_by_ticket_score,1028,3043,2.96011673151751,304300,310560,6260,1.0205718041406506,0.9626355570161025,26,0.008544199802826159,0.02529182879377432,0.5747331508114665,0.4500906629413549,0.5208472409634273,0.4003719516869313,118.40233322379233,111.0,6137.950672737959,17630,0.056768418341061305,0.2911111111111111,0.9921833041418543,6,3,True
