rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_direct_expected_return,avg_hit_payout,max_hit_payout,max_hit_share
odds_100plus_expected>=300_top2,13306,26612,2.0,2661200,11331990,8670790,4.258225612505637,4.110292349316098,91,0.003419509995490756,0.006839019990981512,0.12109921279780167,0.0046232099168636,1839.0951375319403,1543.8000000000002,16005.045569671238,124527.36263736263,393680,0.03474058836973912
odds_100plus_expected>=500_top2,13306,26612,2.0,2661200,11331990,8670790,4.258225612505637,4.110292349316098,91,0.003419509995490756,0.006839019990981512,0.12109921279780167,0.0046232099168636,1839.0951375319403,1543.8000000000002,16005.045569671238,124527.36263736263,393680,0.03474058836973912
odds_100plus_expected>=800_top2,13306,26612,2.0,2661200,11331990,8670790,4.258225612505637,4.110292349316098,91,0.003419509995490756,0.006839019990981512,0.12109921279780167,0.0046232099168636,1839.0951375319403,1543.8000000000002,16005.045569671238,124527.36263736263,393680,0.03474058836973912
odds_100plus_expected>=1000_top2,13306,26612,2.0,2661200,11331990,8670790,4.258225612505637,4.110292349316098,91,0.003419509995490756,0.006839019990981512,0.12109921279780167,0.0046232099168636,1839.0951375319403,1543.8000000000002,16005.045569671238,124527.36263736263,393680,0.03474058836973912
odds_100plus_expected>=200_top2,13307,26613,1.9999248515818742,2661300,11331990,8670690,4.2580656070341565,4.110137902528839,91,0.0034193815052793747,0.006838506049447659,0.1210946930445546,0.0008150196338287,1839.1353586593018,1543.9,16004.453080451412,124527.36263736263,393680,0.03474058836973912
odds_100plus_expected>=150_top2,13308,26615,1.9999248572287347,2661500,11331990,8670490,4.257745632162314,4.109829043772309,91,0.003419124553823032,0.006837992185151788,0.12108563468067861,0.0004439615574002,1839.228371219237,1543.9,16003.2627922133,124527.36263736263,393680,0.03474058836973912
odds_100plus_expected>=100_top2,13311,26619,1.9997746224926751,2661900,11331990,8670090,4.257105826665164,4.109211465494572,91,0.0034186107667455575,0.0068364510555179924,0.12106753785656502,0.0004086509338696,1839.2521957999923,1544.4,16000.876378580302,124527.36263736263,393680,0.03474058836973912
odds_100plus_expected>=80_top2,13312,26623,1.9999248798076923,2662300,11331990,8669690,4.256466213424482,4.1085940727942,91,0.0034180971340570182,0.0068359375,0.12104948131291988,0.0003993368521374,1839.1873079667957,1544.4,15998.485342634161,124527.36263736263,393680,0.03474058836973912
odds_100plus_expected>=50_top2,13317,26629,1.9996245400615755,2662900,11331990,8669090,4.25550715385482,4.107668331518269,91,0.003417326974351271,0.006833370879327175,0.12102229909313127,0.0001154516203323,1839.3455818844118,1544.4,15994.895948724838,124527.36263736263,393680,0.03474058836973912
odds_100plus_top2_by_direct_expected_return,13326,26652,2.0,2665200,11331990,8666790,4.251834759117514,4.104123517934864,91,0.003414377907849317,0.006828755815698634,0.12091806255024165,1.941874750968996e-05,1840.360246885787,1544.5,15981.1170225405,124527.36263736263,393680,0.03474058836973912
odds_30plus_expected>=500_top2,13306,26612,2.0,2661200,11267640,8606440,4.234044791823238,4.086111528633699,91,0.003419509995490756,0.006839019990981512,0.12285098678893826,0.0046232099168636,1837.5481136329474,1543.3,16008.374205566965,123820.21978021978,393680,0.03493899343607002
odds_30plus_expected>=800_top2,13306,26612,2.0,2661200,11267640,8606440,4.234044791823238,4.086111528633699,91,0.003419509995490756,0.006839019990981512,0.12285098678893826,0.0046232099168636,1837.5481136329474,1543.3,16008.374205566965,123820.21978021978,393680,0.03493899343607002
odds_30plus_expected>=1000_top2,13306,26612,2.0,2661200,11267640,8606440,4.234044791823238,4.086111528633699,91,0.003419509995490756,0.006839019990981512,0.12285098678893826,0.0046232099168636,1837.5481136329474,1543.3,16008.374205566965,123820.21978021978,393680,0.03493899343607002
odds_50plus_expected>=300_top2,13306,26612,2.0,2661200,11267640,8606440,4.234044791823238,4.086111528633699,91,0.003419509995490756,0.006839019990981512,0.12283178957142266,0.0046232099168636,1837.5540245002255,1543.3,16008.357423107529,123820.21978021978,393680,0.03493899343607002
odds_50plus_expected>=500_top2,13306,26612,2.0,2661200,11267640,8606440,4.234044791823238,4.086111528633699,91,0.003419509995490756,0.006839019990981512,0.12283178957142266,0.0046232099168636,1837.5540245002255,1543.3,16008.357423107529,123820.21978021978,393680,0.03493899343607002
odds_50plus_expected>=800_top2,13306,26612,2.0,2661200,11267640,8606440,4.234044791823238,4.086111528633699,91,0.003419509995490756,0.006839019990981512,0.12283178957142266,0.0046232099168636,1837.5540245002255,1543.3,16008.357423107529,123820.21978021978,393680,0.03493899343607002
odds_50plus_expected>=1000_top2,13306,26612,2.0,2661200,11267640,8606440,4.234044791823238,4.086111528633699,91,0.003419509995490756,0.006839019990981512,0.12283178957142266,0.0046232099168636,1837.5540245002255,1543.3,16008.357423107529,123820.21978021978,393680,0.03493899343607002
odds_30plus_expected>=300_top2,13308,26614,1.9998497144574692,2661400,11267640,8606240,4.233726610054858,4.085804463816037,91,0.0034192530247238295,0.006837992185151788,0.12285034661452958,0.0046232099168636,1837.4123393702562,1543.3,16007.197660756985,123820.21978021978,393680,0.03493899343607002
