rule,race_id,combination,race_date,odds,estimated_payout,is_hit,hit_payout,hit_popularity,return_yen,direct_ticket_score,direct_expected_return,direct_ticket_rank,direct_expected_rank,race_score,month,day,expected_return
high_odds_v1_top2,1320260122010012,1-5-8,2026-01-22,105.0,10500,0,43760.0,139.0,0.0,0.5211010582593859,5471.561111723552,22,388,0.70091851553384,2026-01,2026-01-22,5471.561111723552
high_odds_v1_top2,1320260122010012,3-5-8,2026-01-22,110.3,11030,0,43760.0,139.0,0.0,0.517630690920157,5709.466520849332,23,373,0.70091851553384,2026-01,2026-01-22,5709.466520849332
high_odds_v1_top2,1320260122020003,3-2-7,2026-01-23,108.9,10890,0,140440.0,285.0,0.0,0.5577423686687801,6073.814394803016,18,358,0.5410913169173568,2026-01,2026-01-23,6073.814394803016
high_odds_v1_top2,1320260122020003,9-7-4,2026-01-23,109.5,10950,0,140440.0,285.0,0.0,0.5223557565586076,5719.795534316752,19,378,0.5410913169173568,2026-01,2026-01-23,5719.795534316753
high_odds_v1_top2,1320260122020004,1-7-9,2026-01-23,103.1,10310,0,38360.0,108.0,0.0,0.5516618604512248,5687.633781252128,19,178,0.4662673481423384,2026-01,2026-01-23,5687.633781252127
high_odds_v1_top2,1320260122020004,7-1-2,2026-01-23,106.6,10660,0,38360.0,108.0,0.0,0.5200493990391917,5543.726593757783,23,188,0.4662673481423384,2026-01,2026-01-23,5543.726593757783
high_odds_v1_top2,1320260122020005,7-5-9,2026-01-23,100.2,10020,0,16130.0,55.0,0.0,0.5538142226289136,5549.2185107417135,23,375,0.5038333858905034,2026-01,2026-01-23,5549.218510741714
high_odds_v1_top2,1320260122020005,9-5-7,2026-01-23,102.2,10220,0,16130.0,55.0,0.0,0.5427635638798709,5547.04362285228,25,378,0.5038333858905034,2026-01,2026-01-23,5547.04362285228
high_odds_v1_top2,1320260122020006,1-7-5,2026-01-23,103.7,10370,0,4010.0,8.0,0.0,0.5862529312401502,6079.442896960358,29,360,0.6229714621718307,2026-01,2026-01-23,6079.442896960358
high_odds_v1_top2,1320260122020006,5-3-9,2026-01-23,102.1,10210,0,4010.0,8.0,0.0,0.5338636865446726,5450.748239621108,33,390,0.6229714621718307,2026-01,2026-01-23,5450.748239621107
high_odds_v1_top2,1320260122020007,7-9-5,2026-01-23,101.4,10140,0,1940.0,2.0,0.0,0.573289803774046,5813.158610268827,29,337,0.5054263729433873,2026-01,2026-01-23,5813.158610268827
high_odds_v1_top2,1320260122020007,7-5-9,2026-01-23,108.3,10830,0,1940.0,2.0,0.0,0.5251615847899092,5687.499963274716,33,344,0.5054263729433873,2026-01,2026-01-23,5687.499963274716
high_odds_v1_top2,1320260122020008,1-9-5,2026-01-23,122.7,12270,0,2180.0,5.0,0.0,0.5844754342086719,7171.513577740404,25,285,0.5506584866218186,2026-01,2026-01-23,7171.513577740405
high_odds_v1_top2,1320260122020008,1-4-2,2026-01-23,104.6,10460,0,2180.0,5.0,0.0,0.5828588183923137,6096.703240383601,26,327,0.5506584866218186,2026-01,2026-01-23,6096.703240383601
