rule,race_count,tickets,avg_tickets_per_race,bet,return,profit,roi,roi_without_max_hit,hit_count,hit_rate_per_ticket,hit_rate_per_race,avg_score,min_score,avg_odds,median_odds,avg_expected,max_hit_payout,max_hit_share,month
odds_30_500_score>=0.5_expected>=0_top10_by_direct_expected_return,2128,20843,9.794642857142858,2084300,1861430,-222870,0.8930720145852324,0.8402053447200499,224,0.010747013385788994,0.10526315789473684,0.6133159252561828,0.5000023288909423,86.50729741399991,86.7,5170.232111711839,110190,0.059196424254471025,2026-02
odds_30_500_score>=0.5_expected>=0_top10_by_direct_expected_return,2256,22071,9.783244680851064,2207100,1872720,-334380,0.8484980290879435,0.8408092066512618,235,0.010647455937655747,0.10416666666666667,0.6147018818627611,0.5000126589254005,85.80921571292647,85.8,5134.882311920938,16970,0.009061685676449228,2026-03
odds_30_500_score>=0.5_expected>=0_top10_by_direct_expected_return,2333,22801,9.773253321903129,2280100,1889120,-390980,0.8285250646901452,0.8212622253409938,229,0.01004341914828297,0.09815687955422203,0.6159207874223841,0.5000000026788737,85.5511775799307,85.6,5127.361687991562,16560,0.008765986279325823,2026-04
odds_30_500_score>=0.5_expected>=0_top10_by_direct_expected_return,2306,22552,9.779705117085863,2255200,1835530,-419670,0.8139100744945016,0.7760509045760908,232,0.010287335934728628,0.10060711188204684,0.6155923119787392,0.5000183266391405,85.57416193685704,85.8,5131.032147349834,85380,0.04651517545341128,2026-05
odds_30_500_score>=0.5_expected>=0_top10_by_direct_expected_return,1977,19362,9.793626707132018,1936200,1506420,-429780,0.7780291292221878,0.7689236649106497,191,0.009864683400475157,0.09661102680829539,0.6136784355084545,0.5000729023231048,86.05353785765934,86.4,5142.669869056707,17630,0.011703243451361506,2026-06
odds_30_500_score>=0.5_expected>=500_top1_by_direct_ticket_score,2305,2305,1.0,230500,169680,-60820,0.7361388286334056,0.7152711496746204,49,0.02125813449023861,0.02125813449023861,0.8263902909158021,0.5554375575689996,35.48013015184382,33.6,2913.7621733632423,4810,0.02834747760490335,2026-01
odds_30_500_score>=0.5_expected>=500_top1_by_direct_ticket_score,2128,2128,1.0,212800,184260,-28540,0.8658834586466165,0.8405075187969925,54,0.02537593984962406,0.02537593984962406,0.828641713255151,0.5738820425490562,35.22269736842105,33.55,2903.127132183094,5400,0.029306414848583522,2026-02
odds_30_500_score>=0.5_expected>=500_top1_by_direct_ticket_score,2256,2256,1.0,225600,146830,-78770,0.6508421985815603,0.630008865248227,43,0.019060283687943262,0.019060283687943262,0.8280858470190703,0.5456573038751847,35.19295212765957,33.6,2900.347195631869,4700,0.03200980726009671,2026-03
odds_30_500_score>=0.5_expected>=500_top1_by_direct_ticket_score,2333,2333,1.0,233300,193110,-40190,0.8277325332190313,0.8060437205315045,57,0.0244320617231033,0.0244320617231033,0.8278173358592046,0.5742731506645278,35.10767252464638,33.3,2891.3218829171647,5060,0.026202682408989694,2026-04
odds_30_500_score>=0.5_expected>=500_top1_by_direct_ticket_score,2306,2306,1.0,230600,185220,-45380,0.8032090199479618,0.7823937554206418,53,0.02298352124891587,0.02298352124891587,0.8283510057528924,0.5440194529345679,35.001994796183865,33.2,2884.5501229581837,4800,0.02591512795594428,2026-05
odds_30_500_score>=0.5_expected>=500_top1_by_direct_ticket_score,1977,1977,1.0,197700,143880,-53820,0.7277693474962064,0.7027819929185635,43,0.02175012645422357,0.02175012645422357,0.8261591154052393,0.5734329766647418,35.151441578148706,33.4,2888.9112885774553,4940,0.034334167361690295,2026-06
odds_30_500_score>=0.5_expected>=500_top2_by_direct_ticket_score,2305,4610,2.0,461000,339980,-121020,0.7374837310195228,0.7227548806941432,93,0.020173535791757048,0.040347071583514096,0.8101620170038286,0.5006519075427881,37.29505422993493,35.6,3000.262519439416,6790,0.01997176304488499,2026-01
odds_30_500_score>=0.5_expected>=500_top2_by_direct_ticket_score,2128,4255,1.9995300751879699,425500,368540,-56960,0.8661339600470035,0.8513983548766157,102,0.023971797884841363,0.047932330827067667,0.8125622847706909,0.5623115620857937,37.013301997649826,35.6,2989.0589578553518,6270,0.017013078634612253,2026-02
odds_30_500_score>=0.5_expected>=500_top2_by_direct_ticket_score,2256,4510,1.999113475177305,451000,319610,-131390,0.7086696230598669,0.6953215077605321,88,0.01951219512195122,0.03900709219858156,0.8120130889870226,0.5418489712696537,36.88044345898004,35.4,2978.608455992523,6020,0.01883545571164857,2026-03
odds_30_500_score>=0.5_expected>=500_top2_by_direct_ticket_score,2333,4665,1.9995713673381912,466500,385900,-80600,0.8272240085744909,0.8157770632368703,110,0.023579849946409433,0.04714959279897128,0.811887034127164,0.5427752539864257,36.88968917470525,35.3,2977.061150273731,5340,0.013837781808758746,2026-04
odds_30_500_score>=0.5_expected>=500_top2_by_direct_ticket_score,2306,4612,2.0,461200,376140,-85060,0.8155680832610581,0.8036860364267129,104,0.022549869904596703,0.045099739809193407,0.8122830631241091,0.5227567737145851,36.73976582827407,35.1,2966.2616651531057,5480,0.014569043441271867,2026-05
odds_30_500_score>=0.5_expected>=500_top2_by_direct_ticket_score,1977,3954,2.0,395400,282670,-112730,0.7148963075366718,0.7012645422357107,80,0.020232675771370764,0.04046535154274153,0.8108899340699811,0.5304446935050572,36.94114820435002,35.4,2977.8482189741667,5390,0.019068171365903705,2026-06
odds_30_500_score>=0.5_expected>=500_top3_by_direct_ticket_score,2305,6913,2.999132321041215,691300,561630,-129670,0.8124258643136121,0.8026037899609432,149,0.02155359467669608,0.06464208242950109,0.7983139808669025,0.5006519075427881,38.87592940836106,36.9,3077.924139223417,6790,0.012089810017271158,2026-01
