race_id,entry_count,result_count,diff
1220240926030008,9,6,-3
1220240926040008,9,7,-2
1220241015010012,7,5,-2
1220241015020006,7,6,-1
1220241023010010,7,6,-1
1220241023020001,7,5,-2
1220241023020002,7,6,-1
1220241023020011,7,5,-2
1220241023030005,7,6,-1
1220241028020005,7,6,-1
1220241104020001,7,6,-1
1220250412010006,7,4,-3
1220250412020005,7,6,-1
1220250412020008,7,5,-2
1220250507030008,7,6,-1
1220250524020007,9,7,-2
1220250524020008,9,8,-1
1220250605020003,7,6,-1
1220250613010003,7,4,-3
1220250613020004,7,5,-2
1220250613020009,7,5,-2
1220250623030003,7,6,-1
1220250623030007,7,6,-1
1220250623030009,7,4,-3
1220250710010002,7,6,-1
1220250710010007,7,6,-1
1220250710020002,6,5,-1
1220250717010001,7,6,-1
1220250717020012,7,6,-1
1220250723010003,7,5,-2
1220250723030001,6,5,-1
1220250809010003,7,5,-2
1220250809020002,7,6,-1
1220250901010010,7,6,-1
1220250901020006,7,6,-1
1220250911010004,7,6,-1
1220250911030002,7,6,-1
1220250920020002,9,8,-1
1220250920030012,9,8,-1
1220250920040008,9,8,-1
1220250926010001,7,5,-2
1220250926030007,7,5,-2
1220251003010004,7,5,-2
1220251003030002,6,4,-2
1220251008010011,7,6,-1
1220251008030011,7,6,-1
1220251027020011,7,4,-3
1220260412020004,7,5,-2
1220260504010005,7,6,-1
1220260504010007,7,6,-1
1220260504020006,7,5,-2
1220260519020005,7,6,-1
1220260519030005,7,4,-3
1220260528010009,7,5,-2
1220260617010003,7,6,-1
1220260625020005,7,6,-1
1220260625030005,7,5,-2
1320230101010002,6,5,-1
1320230101010005,7,5,-2
1320230101020006,6,4,-2
1320230113030007,7,5,-2
1320230207030005,7,6,-1
1320230313010002,7,6,-1
1320230313010011,7,6,-1
1320230313020008,7,4,-3
1320230325010001,7,6,-1
1320230325010007,7,5,-2
1320230325010009,7,0,-7
1320230325020001,6,5,-1
1320230408010009,7,5,-2
1320230417010006,7,5,-2
1320230417010011,7,4,-3
1320230505020001,7,6,-1
1320230521010002,7,5,-2
1320230521020002,7,6,-1
1320230910010001,7,6,-1
1320230910030006,7,6,-1
1320230918010009,7,0,-7
1320231104010003,7,6,-1
1320231104010009,7,6,-1
1320231113010002,7,4,-3
1320231113020003,7,5,-2
1320231113020009,7,6,-1
1320231113030012,7,6,-1
1320231124010007,7,6,-1
1320231124030006,7,5,-2
1320231214030005,7,6,-1
1320231214030012,7,6,-1
1320231229030004,7,6,-1
1320240116030003,7,6,-1
1320240116030012,7,6,-1
1320240125020005,9,7,-2
1320240125020012,9,8,-1
1320240125030002,9,8,-1
1320240125030005,9,8,-1
1320240125030007,9,8,-1
1320240125030008,9,8,-1
1320240125040010,9,8,-1
1320240217020001,7,4,-3
1320240217020003,7,6,-1
1320240217020006,7,6,-1
1320240301020003,7,5,-2
1320240301030012,7,5,-2
1320240405010004,7,4,-3
1320240405030001,7,6,-1
1320240405030008,7,6,-1
1320240423030002,7,6,-1
1320240430010007,9,8,-1
1320240430020006,9,8,-1
1320240430030001,9,8,-1
1320240430030004,9,7,-2
1320240430030008,9,8,-1
1320240430030009,9,7,-2
1320240430030010,9,8,-1
