race_id,combination,payout,popularity,result_top3,top3_match
7320230821030008,1-7-2,1590,8,1-7-2-5,False
7320240813020011,1-2-4,4010,19,1-2-4-5,False
7320240922030004,3-6-2,26320,44,3-6-2-5,False
7320240922030007,2-4-7,300,1,,False
7320240922030008,1-4-3,8100,23,2-4-7,False
7320240922030009,5-3-2,4490,11,1-4-3,False
7320240922030010,7-2-1,23850,63,5-3-2,False
7320240922030011,3-2-5,22670,89,7-2-1,False
7320241220030002,4-2-5,3860,23,4-2-5-7,False
7420230622030003,2-5-1,1860,11,2-5-1-6,False
7420231005030005,1-3-2,540,3,1-3-2-5,False
7420240411020008,1-7-2,1290,6,1-7-2-6,False
7420250103030003,7-3-1,2680,15,7-3-1-6,False
7420250226010002,3-2-4,2940,9,,False
7420250226010003,2-4-1,4670,15,3-2-4,False
7420250226010004,3-1-6,5510,13,2-4-1,False
7420250226010005,1-3-2,2730,8,3-1-6,False
7420250226010006,4-5-6,5030,15,1-3-2,False
7420250319030003,1-3-2,820,3,1-3-2-6,False
7420250403010007,7-9-2,1800,9,7-9-2-3,False
7420260217010004,4-1-5,1160,6,4-1-5-6,False
7420260217020002,1-2-4,210,2,1-2-4-5,False
7520230420030012,1-6-4,1830,7,1-6-4-7,False
7520240531030011,3-6-2,29770,104,3-6-2-5,False
7520240920020004,2-4-1,380,3,2-4-1-5,False
7520241205040001,1-2-4,3140,20,1-2-4-5,False
8120230306030010,7-2-4,2900,16,7-2-4-5,False
8120230723030012,7-3-2,11620,95,7-3-2-5,False
8120231221010009,2-5-1,1960,11,2-5-1-7,False
8120240121010010,1-4-3,2920,14,1-4-3-7,False
8120240206010001,1-3-2,510,2,1-3-2-6,False
8120240410020006,3-4-2,54830,143,3-4-2-5,False
8120250725020007,2-1-3,1750,7,2-1-3-6,False
8120250815020001,4-3-1,15000,40,4-3-1-2,False
8120250916010011,2-4-3,2240,12,2-4-3-7,False
8120251013010012,4-3-5,2180,9,4-3-5-7,False
8320230821020002,3-7-2,780,3,3-7-2-5,False
8320240610010003,1-7-2,2170,10,1-7-2-4,False
8320240710010007,4-7-1,2860,16,4-7-1-2,False
8320250128030001,1-7-5,6210,44,1-7-5-6,False
8320251230030001,1-2-4,890,4,1-2-4-6,False
8320260217030002,7-2-1,6390,37,7-2-1-6,False
8320260410030011,2-7-1,3310,24,2-7-1-3,False
8420230706030007,7-4-2,42590,184,7-4-2-5,False
8420240308010002,1-3-2,390,3,1-3-2-4,False
8420250601030005,1-5-3,3770,24,1-5-3-4,False
8420250803010004,5-7-1,14020,47,5-7-1-3,False
8420260523020001,3-5-1,40700,234,3-5-1-9,False
8420260621030005,1-4-5,7170,23,,False
8420260621030006,4-3-5,14180,53,1-4-5,False
8420260621030007,7-3-1,323790,165,4-3-5,False
8420260621030008,2-1-5,3470,8,7-3-1,False
8520240408010003,1-5-3,870,6,1-5-3-4,False
8520240707020008,2-3-1,6920,21,2-7,False
8520250921030007,4-3-5,5880,25,4-3-5-7,False
8520251204030011,9-1-2,8480,58,9-1-2-6,False
8620230123030107,6-3-2,640,2,6-3-2-5,False
8620230318010007,3-4-1,25310,138,3-4-1-7,False
8620230630010008,3-7-2,6640,41,3-7-2-5,False
8620240219010005,1-5-4,3700,15,1-5-4-7,False
8620240219020005,3-7-1,360,3,3-7-1-5,False
8620240421010001,7-2-5,610,3,7-2-5-6,False
8620240725030008,5-3-9,2470,5,,False
8620240725030009,9-7-1,1690,3,5-3-9,False
8620240725030010,9-1-3,4360,8,9-7-1,False
8620240725030011,1-4-3,5890,15,9-1-3,False
8620251026020006,1-4-2,1430,10,1-4-2-6,False
8620251102010001,1-4-2,560,3,1-4-2-3,False
8620260120020009,6-7-1,4500,28,6-7-1-2,False
8720241215030007,1-7-2,14990,67,1-7-2-5,False
8720250223030001,7-1-3,8400,56,7-1-3-6,False
8720250421010010,2-5-1,280,1,,False
8720250421010011,4-1-6,2210,5,2-5-1,False
8720250724020009,2-7-1,1480,6,2-7-1-3,False
8720250917030004,4-1-3,2170,12,4-1-3-5,False
8720260314030003,7-5-2,4730,33,7-5-2-4,False
8720260507020006,2-5-6,24940,56,,False
8720260507020007,2-7-1,5060,16,2-5-6,False
8720260507020008,2-4-7,930,1,2-7-1,False
8720260507020009,2-7-4,3350,8,2-4-7,False
8720260507020010,1-5-3,13130,37,2-7-4,False
8720260507020011,5-1-4,2650,7,1-5-3,False
8720260529010009,6-5-2,3910,10,4-2,False
8720260529010010,6-7-3,85380,135,6-5-2,False
